SYMBOL,COMPANY,PURPOSE,Details,DATE
ASIL,Amit Spinning Industries Limited,Financial Results,"ASIL : 16-Feb-2026 : The Company has informed the Exchange that a Board meeting was held today on February 14, 2026 and...Read More",16-Feb-2026
CREATIVEYE,Creative Eye Limited,Other business matters,To consider other business matters,16-Feb-2026
SEJALLTD,Sejal Glass Limited,Financial Results/Other business matters,To consider and approve the Audited Standalone Financial Results along with Audit Report for the period ended December 3...Read More,16-Feb-2026
SGFIN,SG Finserve Limited,Other business matters,To consider and approve the modifications in terms and conditions of Non-Convertible Debentures (NCDs),16-Feb-2026
CREATIVEYE,Creative Eye Limited,Financial Results,"To consider and approve the financial results for the period ended December 31, 2025",17-Feb-2026
HCG,Healthcare Global Enterprises Limited,Fund Raising,"To consider and approve inter alia, the proposal of fund raise by way of issuance of equity shares through Rights Issue.",17-Feb-2026
VALECHAENG,Valecha Engineering Limited,Financial Results,"VALECHAENG : 17-Feb-2026 : The Company has informed the Exchange that a Board meeting to be held on February 13, 2026 h...Read More",17-Feb-2026
AFFORDABLE,Affordable Robotic & Automation Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,18-Feb-2026
HILTON,Hilton Metal Forging Limited,Other business matters,To consider other business matters,18-Feb-2026
MOKSH,Moksh Ornaments Limited,Other business matters,To consider other business matters,18-Feb-2026
NBCC,NBCC (India) Limited,Dividend,To consider interim dividend,18-Feb-2026
ABB,ABB India Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended December 31, 2025 and recommend dividend",19-Feb-2026
CIEINDIA,CIE Automotive India Limited,Financial Results/Dividend,"To consider and approve the Audited financial results (Standalone & Consolidated) for the period ended December 31, 2025...Read More",19-Feb-2026
DVL,Dhunseri Ventures Limited,Dividend,Prior Intimation of Board Meeting to consider and declare interim dividend,20-Feb-2026
JSWINFRA,JSW Infrastructure Limited,Fund Raising,To consider Fund Raising,20-Feb-2026
MBECL,Mcnally Bharat Engineering Company Limited,Financial Results,"To consider and approve the financial results for the period ended December 31, 2025",20-Feb-2026
ODIGMA,Odigma Consultancy Solutions Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,20-Feb-2026
SURAJEST,Suraj Estate Developers Limited,Fund Raising/Other business matters,To consider Fund Raising by Issuance of Securities,20-Feb-2026
AFIL,Akme Fintrade (India) Limited,Fund Raising,To consider Fund Raising through issuance of warrants by way of a preferential allotment on private placement basis.,21-Feb-2026
BKMINDST,Bkm Industries Limited,Other business matters,To deliberate on matters pertaining to reduction of capital and allotment of securities in accordance with the approved ...Read More,21-Feb-2026
CCCL,Consolidated Construction Consortium Limited,Fund Raising,To consider and approve Fund Raising by way of equity shares through preferential issue,21-Feb-2026
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Results,"To consider and approve the standalone and consolidated financial results for the period ended December 31, 2025",21-Feb-2026
BFUTILITIE,BF Utilities Limited,Financial Results,"To consider and approve the Consolidated Unaudited Financial Results for the quarter and half year ended September 30, 2...Read More",23-Feb-2026
OSIAHYPER,Osia Hyper Retail Limited,Fund Raising,To consider Fund Raising,23-Feb-2026
PVP,PVP Ventures Limited,Financial Results,"PVP : 23-Feb-2026 : The Company has informed the Exchange that a Board meeting to be held on February 12, 2026 has been...Read More",23-Feb-2026
STEELCITY,Steel City Securities Limited,Dividend/Other business matters,To consider dividend and other business matters,23-Feb-2026
TIL,TIL Limited,Fund Raising,To consider Fund Raising,23-Feb-2026
