"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"LOKESHMACH","205.61","232.00","26.39","12.83","232.00","34,387","0.80","-","255.87","127.93"
"MAHAPEXLTD","105.25","117.89","12.64","12.01","117.89","7,025","0.08","-","128.09","69.05"
"ANTELOPUS","593.30","647.95","54.65","9.21","647.95","23,603","1.53","-","767.95","357.00"
"WEALTH","950.30","1,034.00","83.70","8.81","1,034.00","1","-","-","1,410.00","774.95"
"ARENTERP","41.45","44.99","3.54","8.54","44.99","95","-","-","62.99","37.60"
"HINDOILEXP","156.47","169.00","12.53","8.01","169.00","52,702","0.89","-","198.99","129.36"
"ABCOTS","410.40","435.00","24.60","5.99","435.00","5","-","-","504.00","370.10"
"EUROBOND","161.26","170.75","9.49","5.88","170.75","7","-","-","254.50","144.85"
"BYKE","41.09","43.38","2.29","5.57","43.38","1","-","-","100.80","37.55"
"KRIDHANINF","2.84","2.99","0.15","5.28","2.99","2,350","-","-","5.39","2.20"
"KHANDSE","17.87","18.79","0.92","5.15","18.79","50","-","-","29.00","14.62"
"SANWARIA","0.20","0.21","0.01","5.00","0.21","4,048","-","-","0.42","0.19"
"ESFL","163.30","171.45","8.15","4.99","171.45","38,520","0.66","-","585.00","115.90"
"NEUEON","13.11","13.76","0.65","4.96","13.76","48,824","0.07","-","13.76","5.76"
"SHANTI","6.67","7.00","0.33","4.95","7.00","11","-","-","23.87","6.10"
"RCOM","0.81","0.85","0.04","4.94","0.85","1,40,301","0.01","-","1.95","0.75"
"AFIL","7.52","7.89","0.37","4.92","7.89","2,57,159","0.20","-","10.16","3.92"
"MAGNUM","20.54","21.55","1.01","4.92","21.55","2","-","-","32.38","19.11"
"AUSOMENT","98.94","103.76","4.82","4.87","103.76","3","-","-","178.00","72.80"
"STYL","238.26","249.80","11.54","4.84","249.80","13,858","0.35","-","437.45","227.01"
"INSPIRISYS","83.00","86.99","3.99","4.81","86.99","16","-","-","120.74","66.55"
"FELDVR","2.92","3.06","0.14","4.79","3.06","110","-","-","4.47","2.56"
"SHIVAMAUTO","18.37","19.24","0.87","4.74","19.24","10","-","-","35.79","15.50"
"RADIOCITY","5.91","6.19","0.28","4.74","6.19","620","-","-","11.50","5.66"
"GOLDSTAR","9.50","9.95","0.45","4.74","9.95","11,250","0.01","-","13.50","4.50"
"REPL","82.11","85.99","3.88","4.73","85.99","100","-","-","237.81","75.04"
"BRANDMAN","155.65","163.00","7.35","4.72","163.00","4,000","0.07","-","243.80","135.15"
"VCL","1.93","2.02","0.09","4.66","2.02","12,824","-","-","2.66","0.60"
"TECHLABS","213.45","223.40","9.95","4.66","223.40","500","0.01","-","1,029.30","165.30"
"GUJRAFFIA","39.08","40.89","1.81","4.63","40.89","12","-","-","88.00","34.87"
"SUMIT","37.48","39.20","1.72","4.59","39.20","24","-","-","117.00","34.50"
"VIJIFIN","2.19","2.29","0.10","4.57","2.29","43,285","0.01","-","4.60","1.99"
"ZENITHSTL","5.59","5.84","0.25","4.47","5.84","550","-","-","10.33","4.41"
"RSYSTEMS","258.50","269.90","11.40","4.41","269.90","3,343","0.09","-","496.90","250.65"
"AAKASH","9.79","10.20","0.41","4.19","10.20","35,592","0.04","-","13.79","7.06"
"DCXINDIA","190.98","198.97","7.99","4.18","198.97","91,316","1.82","-","363.75","153.60"
"LANCORHOL","22.96","23.89","0.93","4.05","23.89","4","-","-","33.80","19.01"
"WORTHPERI","132.69","138.00","5.31","4.00","138.00","10","-","-","186.00","123.80"
"MAHASTEEL","830.80","863.95","33.15","3.99","863.95","128","0.01","-","1,032.00","221.90"
"TIJARIA","4.77","4.96","0.19","3.98","4.96","127","-","-","10.35","3.55"
"NITIRAJ","213.70","222.00","8.30","3.88","222.00","250","0.01","-","421.60","169.99"
"SWANDEF","2,022.50","2,100.00","77.50","3.83","2,100.00","357","0.07","-","2,100.00","70.94"
"OIL","484.50","503.00","18.50","3.82","503.00","1,02,419","5.15","-","524.00","325.00"
"PARASPETRO","2.10","2.18","0.08","3.81","2.18","5,070","-","-","3.26","1.53"
"S&SPOWER","331.05","343.25","12.20","3.69","343.25","432","0.01","-","468.90","193.50"
"MADHUCON","4.39","4.55","0.16","3.64","4.55","7","-","-","9.49","4.25"
"TICL","24.61","25.50","0.89","3.62","25.50","35","-","-","41.33","19.35"
"SELMC","30.39","31.49","1.10","3.62","31.49","35","-","-","48.77","26.00"
"ONGC","278.95","289.00","10.05","3.60","289.00","3,50,370","10.13","-","293.00","205.00"
"VINEETLAB","30.40","31.49","1.09","3.59","31.49","10","-","-","42.01","22.28"
"ASHIMASYN","14.01","14.50","0.49","3.50","14.50","223","-","-","35.80","12.05"
"JWL","298.60","309.00","10.40","3.48","309.00","2,02,051","6.24","-","457.00","246.20"
"PRAKASHSTL","4.15","4.29","0.14","3.37","4.29","1,638","-","-","7.45","3.92"
"SIGIND","45.45","46.98","1.53","3.37","46.98","10","-","-","81.00","39.99"
"MODTHREAD","52.06","53.62","1.56","3.00","53.62","2,216","0.01","-","62.00","31.35"
"MAITREYA","219.05","225.50","6.45","2.94","225.50","400","0.01","-","329.00","178.60"
"HCL-INSYS","12.51","12.87","0.36","2.88","12.87","2,575","-","-","24.50","11.75"
"NOIDATOLL","3.87","3.98","0.11","2.84","3.98","2,838","-","-","5.63","2.57"
"GVPTECH","6.52","6.70","0.18","2.76","6.70","301","-","-","12.00","6.25"
"TREJHARA","175.21","179.98","4.77","2.72","179.98","1","-","-","284.85","155.60"
"ABAN","22.30","22.90","0.60","2.69","22.90","23,286","0.05","-","61.00","18.06"
"STEL","524.65","538.70","14.05","2.68","538.70","1","-","-","633.30","364.80"
"TVVISION","5.65","5.80","0.15","2.65","5.80","143","-","-","12.40","3.96"
"VHLTD","149.09","153.00","3.91","2.62","153.00","101","-","-","155.36","93.05"
"SIKKO","4.63","4.75","0.12","2.59","4.75","9,862","-","-","6.83","3.20"
"SAURASHCEM","62.59","64.20","1.61","2.57","64.20","1","-","-","128.40","59.51"
"JINDRILL","542.20","556.00","13.80","2.55","556.00","23,917","1.33","-","982.45","440.10"
"ASIANHOTNR","292.65","299.95","7.30","2.49","299.95","2","-","-","419.50","247.50"
"ORCHASP","2.43","2.49","0.06","2.47","2.49","7,055","-","-","4.16","2.05"
"EMUDHRA","413.60","423.70","10.10","2.44","423.70","5,652","0.24","-","894.10","400.00"
"BLUECOAST","20.93","21.44","0.51","2.44","21.44","113","-","-","86.31","19.20"
"FEL","0.42","0.43","0.01","2.38","0.43","2,713","-","-","0.68","0.34"
"DNAMEDIA","3.41","3.49","0.08","2.35","3.49","14","-","-","5.95","3.07"
"SIGMAADV","160.13","163.90","3.77","2.35","163.90","6,004","0.10","-","231.00","49.06"
"IITL","131.93","134.93","3.00","2.27","134.93","10","-","-","284.70","108.00"
"GATECH","0.46","0.47","0.01","2.17","0.47","65,766","-","-","1.21","0.44"
"ZEELEARN","5.57","5.69","0.12","2.15","5.69","2,775","-","-","10.89","4.57"
"GATECHDVR","0.47","0.48","0.01","2.13","0.48","16,876","-","-","1.16","0.42"
"AVONMORE","14.10","14.40","0.30","2.13","14.40","35","-","-","24.19","13.21"
"BGLOBAL","2.84","2.90","0.06","2.11","2.90","125","-","-","4.60","2.77"
"RAJMET","3.81","3.89","0.08","2.10","3.89","3,352","-","-","7.12","3.56"
"KAUSHALYA","842.40","860.00","17.60","2.09","860.00","10","-","-","1,841.90","800.00"
"MTEDUCARE","1.47","1.50","0.03","2.04","1.50","16","-","-","2.55","1.32"
"ORTEL","1.48","1.51","0.03","2.03","1.51","500","-","-","2.34","1.15"
"ROML","44.98","45.89","0.91","2.02","45.89","5","-","-","73.80","40.16"
"DICIND","524.45","535.00","10.55","2.01","535.00","17","-","-","748.00","450.50"
"SBGLP","28.36","28.93","0.57","2.01","28.93","1","-","-","48.73","24.95"
"PARAS","749.35","764.35","15.00","2.00","764.35","24,146","1.85","-","972.50","410.65"
"JMA","84.67","86.36","1.69","2.00","86.36","9","-","-","111.99","64.30"
"RAJRILTD","22.84","23.29","0.45","1.97","23.29","360","-","-","31.59","19.50"
"SMARTLINK","120.14","122.50","2.36","1.96","122.50","9","-","-","173.49","112.97"
"SOLARA","459.05","467.95","8.90","1.94","467.95","5,656","0.26","-","734.40","440.20"
"SURANASOL","22.26","22.69","0.43","1.93","22.69","620","-","-","41.44","20.20"
"CUPID","402.20","82.00","1.55","1.93","82.00","29,256","0.24","-","105.39","11.15"
"VIVIDHA","0.52","0.53","0.01","1.92","0.53","345","-","-","1.05","0.48"
"SCPL","325.75","332.00","6.25","1.92","332.00","33","-","-","368.95","190.03"
"GSS","13.09","13.34","0.25","1.91","13.34","161","-","-","52.69","12.31"
"SADBHIN","3.18","3.24","0.06","1.89","3.24","1,206","-","-","6.00","3.03"
"VISASTEEL","36.20","36.88","0.68","1.88","36.88","288","-","-","73.68","28.20"
"RUDRA","17.76","18.09","0.33","1.86","18.09","2","-","-","29.70","15.90"
"TPHQ","0.55","0.56","0.01","1.82","0.56","31,064","-","-","1.48","0.52"
"AMJLAND","38.42","39.10","0.68","1.77","39.10","15","-","-","68.90","36.55"
"RKDL","20.55","20.90","0.35","1.70","20.90","30,851","0.06","-","34.58","16.30"
"DPEL","290.10","295.00","4.90","1.69","295.00","1,500","0.04","-","330.60","99.05"
"MHLXMIRU","170.07","172.90","2.83","1.66","172.90","1","-","-","270.68","160.00"
"DANGEE","3.02","3.07","0.05","1.66","3.07","835","-","-","6.34","2.53"
"SPCENET","4.28","4.35","0.07","1.64","4.35","2,428","-","-","11.24","3.96"
"SHAREINDIA","131.99","134.01","2.02","1.53","134.01","23,966","0.32","-","211.00","122.32"
"KOHINOOR","25.61","26.00","0.39","1.52","26.00","520","-","-","45.00","22.81"
"OMINFRAL","80.29","81.50","1.21","1.51","81.50","31","-","-","146.12","71.50"
"AIRAN","16.01","16.25","0.24","1.50","16.25","118","-","-","32.65","12.66"
"GVKPIL","2.69","2.73","0.04","1.49","2.73","23,612","0.01","-","4.48","2.59"
"NELCAST","114.59","116.30","1.71","1.49","116.30","6,652","0.08","-","180.90","78.55"
"MBLINFRA","25.61","25.99","0.38","1.48","25.99","2","-","-","57.00","22.70"
"KRITINUT","65.05","66.00","0.95","1.46","66.00","10","-","-","125.01","59.01"
"SURANAT&P","17.24","17.49","0.25","1.45","17.49","171","-","-","29.27","16.30"
"COUNCODOS","4.91","4.98","0.07","1.43","4.98","40","-","-","11.92","4.52"
"HINDCOMPOS","414.05","419.90","5.85","1.41","419.90","29","-","-","537.75","395.00"
"KDL","120.10","121.70","1.60","1.33","121.70","1,200","0.01","-","386.20","109.65"
"SPLPETRO","669.20","678.00","8.80","1.32","678.00","1,112","0.08","-","979.00","462.30"
