symbol,identifier,series,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep
HILTON-RE2,HILTON-RE2BEN,BE,,0,0.05,25.0,0.2,0,0,-,0.4,0.15,0.25
DELAPLEX,DELAPLEXSMN,SM,,0,19.45,19.97,97.4,0,0,-,194.85,86.2,116.85
PARSVNATH,PARSVNATHEQN,EQ,,0,1.36,19.94,6.82,0,0,-,27.39,6.02,8.18
BIL,BILEQN,EQ,,0,143.55,19.9,721.45,0,0,-,984.75,444.0,865.0
KPEL,KPELEQN,EQ,,0,48.25,19.55,246.75,0,0,-,583.7,237.9,295.0
SOLEX,SOLEXEQN,EQ,,0,158.1,18.8,840.9,0,0,-,1985.0,630.9,999.0
AGARIND,AGARINDEQN,EQ,,0,83.55,18.3,456.45,0,0,-,1103.0,437.5,540.0
DOLPHIN,DOLPHINEQN,EQ,,0,80.05,16.72,478.65,0,0,-,501.95,245.05,558.7
RELTD,RELTDEQN,EQ,,0,22.36,16.49,135.63,0,0,-,191.77,93.41,157.99
COASTCORP,COASTCORPEQN,EQ,,0,6.9,16.2,42.6,0,0,-,53.99,30.01,49.5
PROSTARM,PROSTARMEQN,EQ,,0,20.43,16.05,127.27,0,0,-,253.49,108.0,147.7
PAUSHAKLTD,PAUSHAKLTDEQN,EQ,,0,61.5,15.24,403.5,0,0,-,633.05,401.0,465.0
SAHYADRI,SAHYADRIEQN,EQ,,0,35.6,15.19,234.4,0,0,-,330.0,211.0,270.0
MEIL,MEILEQN,EQ,,0,34.05,15.14,224.95,0,0,-,573.7,222.6,259.0
SUPERSPIN,SUPERSPINEQN,EQ,,0,0.78,14.94,5.22,0,0,-,12.47,5.07,6.0
BYKE,BYKEEQN,EQ,,0,5.85,14.75,39.65,0,0,-,100.8,37.55,45.5
TARACHAND,TARACHANDEQN,EQ,,0,8.42,14.75,57.08,0,0,-,103.67,53.97,65.5
INTENTECH,INTENTECHEQN,EQ,,0,13.28,14.64,90.72,0,0,-,149.9,79.5,104.0
NGLFINE,NGLFINEEQN,EQ,,0,318.4,14.11,2256.6,0,0,-,2575.0,980.0,2575.0
3PLAND,3PLANDEQN,EQ,,0,4.19,13.82,30.31,0,0,-,58.79,29.0,34.5
GGBL,GGBLSMN,SM,,0,36.05,13.16,273.95,0,0,-,555.0,221.05,310.0
GEECEE,GEECEEEQN,EQ,,0,33.6,12.88,260.8,0,0,-,448.0,252.25,294.4
SMARTWORKS,SMARTWORKSEQN,EQ,,0,48.2,12.69,379.8,0,0,-,619.0,370.0,428.0
ASPINWALL,ASPINWALLEQN,EQ,,0,25.8,12.3,209.77,0,0,-,315.0,204.0,235.57
INFLUX,INFLUXSMN,SM,,0,26.65,12.29,216.9,0,0,-,261.95,120.0,243.55
ARMANFIN,ARMANFINEQN,EQ,,0,160.5,11.98,1339.2,0,0,-,1834.6,1109.95,1499.7
JLHL,JLHLEQN,EQ,,0,148.9,11.9,1251.1,0,0,-,1770.0,1198.8,1400.0
BIGBLOC,BIGBLOCEQN,EQ,,0,5.81,11.81,49.19,0,0,-,80.0,48.25,55.0
MITCON,MITCONEQN,EQ,,0,6.16,11.57,53.24,0,0,-,97.62,50.3,59.4
ISFT,ISFTEQN,EQ,,0,7.67,11.39,67.33,0,0,-,120.99,65.01,75.0
MAXIND,MAXINDEQN,EQ,,0,16.28,11.34,143.62,0,0,-,241.57,141.81,159.9
VLEGOV,VLEGOVEQN,EQ,,0,1.6,11.27,14.2,0,0,-,65.04,11.6,15.8
SILINV,SILINVEQN,EQ,,0,44.4,10.95,405.6,0,0,-,767.0,396.0,450.0
MOLDTKPAC,MOLDTKPACEQN,EQ,,0,55.1,10.22,538.9,0,0,-,892.9,410.0,594.0
RSSOFTWARE,RSSOFTWAREEQN,EQ,,0,3.0,9.91,30.28,0,0,-,91.65,29.61,33.28
AYMSYNTEX,AYMSYNTEXEQN,EQ,,0,18.8,9.84,191.1,0,0,-,279.33,141.53,209.9
AURUM,AURUMEQN,EQ,,0,15.94,9.72,163.96,0,0,-,225.7,144.4,179.9
CNL,CNLEQN,EQ,,0,60.5,9.63,628.5,0,0,-,825.0,594.75,689.0
NGIL,NGILEQN,EQ,,0,2.32,9.6,24.17,0,0,-,39.39,22.19,26.49
PUNJABCHEM,PUNJABCHEMEQN,EQ,,0,102.0,9.58,1065.0,0,0,-,1666.0,772.35,1167.0
INFOMEDIA,INFOMEDIAEQN,EQ,,0,0.5,9.54,5.24,0,0,-,9.89,4.5,5.74
SECURKLOUD,SECURKLOUDEQN,EQ,,0,1.9,9.48,20.05,0,0,-,34.18,16.01,21.95
ARVSMART,ARVSMARTEQN,EQ,,0,47.45,9.46,501.35,0,0,-,757.0,486.8,548.8
TIL,TILEQN,EQ,,0,17.71,9.21,192.29,0,0,-,409.0,165.4,210.0
IIFLCAPS,IIFLCAPSEQN,EQ,,0,27.15,9.15,296.8,0,0,-,411.3,180.0,323.95
CROWN,CROWNEQN,EQ,,0,10.66,9.07,117.54,0,0,-,221.8,108.45,128.2
SUMIT,SUMITEQN,EQ,,0,3.17,9.06,34.98,0,0,-,117.0,34.5,38.15
RILINFRA,RILINFRASMN,SM,,0,2.9,9.05,32.05,0,0,-,53.9,27.6,34.95
RUDRA,RUDRAEQN,EQ,,0,1.53,9.04,16.92,0,0,-,29.7,15.9,18.45
SIMPLEXINF,SIMPLEXINFEQN,EQ,,0,15.69,9.01,174.21,0,0,-,342.45,171.2,189.9
NOIDATOLL,NOIDATOLLEQN,EQ,,0,0.32,8.86,3.61,0,0,-,5.63,2.57,3.93
RSYSTEMS,RSYSTEMSEQN,EQ,,0,25.3,8.49,298.1,0,0,-,496.9,250.65,323.4
AKSHARCHEM,AKSHARCHEMEQN,EQ,,0,16.14,8.44,191.16,0,0,-,330.8,188.1,207.3
CPEDU,CPEDUEQN,EQ,,0,14.46,8.01,180.44,0,0,-,338.75,178.5,194.9
SOLARWORLD,SOLARWORLDEQN,EQ,,0,13.0,7.97,163.19,0,0,-,388.5,158.88,176.19
BAGFILMS,BAGFILMSEQN,EQ,,0,0.39,7.89,4.94,0,0,-,8.0,4.5,5.33
PRITIKAUTO,PRITIKAUTOEQN,EQ,,0,0.97,7.87,12.32,0,0,-,21.01,11.4,13.29
PALASHSECU,PALASHSECUEQN,EQ,,0,6.78,7.86,86.22,0,0,-,142.0,85.4,93.0
MAZDA,MAZDAEQN,EQ,,0,14.49,7.63,189.91,0,0,-,337.77,185.56,204.4
SEAMECLTD,SEAMECLTDEQN,EQ,,0,98.5,7.43,1326.4,0,0,-,1446.7,752.55,1424.9
RKDL,RKDLEQN,EQ,,0,1.37,7.35,18.63,0,0,-,34.58,16.3,20.0
BIOFILCHEM,BIOFILCHEMEQN,EQ,,0,2.2,7.31,30.1,0,0,-,57.19,28.5,32.3
AVTNPL,AVTNPLEQN,EQ,,0,4.34,7.23,60.06,0,0,-,83.8,51.41,64.4
TATAINVEST,TATAINVESTEQN,EQ,,0,44.9,7.21,623.1,0,0,-,1184.7,573.5,668.0
MANORAMA,MANORAMAEQN,EQ,,0,93.7,7.14,1313.0,0,0,-,1760.0,849.95,1406.7
DCMNVL,DCMNVLEQN,EQ,,0,8.64,7.12,121.36,0,0,-,203.8,118.51,130.0
DIXON,DIXONEQN,EQ,,0,696.0,7.1,9804.0,0,0,-,18471.0,9630.0,10500.0
MOLDTECH,MOLDTECHEQN,EQ,,0,8.27,7.09,116.63,0,0,-,221.0,109.95,124.9
ROTO,ROTOEQN,EQ,,0,3.73,7.03,53.07,0,0,-,109.5,52.29,56.8
DRCSYSTEMS,DRCSYSTEMSEQN,EQ,,0,0.92,6.95,13.23,0,0,-,31.0,13.15,14.15
HLVLTD,HLVLTDEQN,EQ,,0,0.51,6.84,7.46,0,0,-,15.75,6.68,7.97
MEDICO,MEDICOEQN,EQ,,0,2.75,6.83,40.25,0,0,-,62.76,37.18,43.0
