Unnamed: 0,Symbol,PREV. CLOSE,IEP,Chng,%Chng,Final,Final Quantity,Value(₹ Crores),NM 52w H,NM 52w L,Unnamed: 11
,LOKESHMACH,205.61,232.0,26.39,12.83,232.0,34387,0.80,255.87,127.93,
,MAHAPEXLTD,105.25,117.89,12.64,12.01,117.89,7025,0.08,128.09,69.05,
,ANTELOPUS,593.3,647.95,54.65,9.21,647.95,23603,1.53,767.95,357.00,
,WEALTH,950.3,1034.0,83.7,8.81,1034.0,1,0.00,1410.00,774.95,
,ARENTERP,41.45,44.99,3.54,8.54,44.99,95,0.00,62.99,37.60,
,HINDOILEXP,156.47,169.0,12.53,8.01,169.0,52702,0.89,198.99,129.36,
,ABCOTS,410.4,435.0,24.6,5.99,435.0,5,0.00,504.00,370.10,
,EUROBOND,161.26,170.75,9.49,5.88,170.75,7,0.00,254.50,144.85,
,BYKE,41.09,43.38,2.29,5.57,43.38,1,0.00,100.80,37.55,
,KRIDHANINF,2.84,2.99,0.15,5.28,2.99,2350,0.00,5.39,2.20,
,KHANDSE,17.87,18.79,0.92,5.15,18.79,50,0.00,29.00,14.62,
,SANWARIA,0.2,0.21,0.01,5.0,0.21,4048,0.00,0.42,0.19,
,ESFL,163.3,171.45,8.15,4.99,171.45,38520,0.66,585.00,115.90,
,NEUEON,13.11,13.76,0.65,4.96,13.76,48824,0.07,13.76,5.76,
,SHANTI,6.67,7.0,0.33,4.95,7.0,11,0.00,23.87,6.10,
,RCOM,0.81,0.85,0.04,4.94,0.85,140301,0.01,1.95,0.75,
,MAGNUM,20.54,21.55,1.01,4.92,21.55,2,0.00,32.38,19.11,
,AFIL,7.52,7.89,0.37,4.92,7.89,257159,0.20,10.16,3.92,
,AUSOMENT,98.94,103.76,4.82,4.87,103.76,3,0.00,178.00,72.80,
,STYL,238.26,249.8,11.54,4.84,249.8,13858,0.35,437.45,227.01,
,INSPIRISYS,83.0,86.99,3.99,4.81,86.99,16,0.00,120.74,66.55,
,FELDVR,2.92,3.06,0.14,4.79,3.06,110,0.00,4.47,2.56,
,SHIVAMAUTO,18.37,19.24,0.87,4.74,19.24,10,0.00,35.79,15.50,
,RADIOCITY,5.91,6.19,0.28,4.74,6.19,620,0.00,11.50,5.66,
,GOLDSTAR,9.5,9.95,0.45,4.74,9.95,11250,0.01,13.50,4.50,
,REPL,82.11,85.99,3.88,4.73,85.99,100,0.00,237.81,75.04,
,BRANDMAN,155.65,163.0,7.35,4.72,163.0,4000,0.07,243.80,135.15,
,VCL,1.93,2.02,0.09,4.66,2.02,12824,0.00,2.66,0.60,
,TECHLABS,213.45,223.4,9.95,4.66,223.4,500,0.01,1029.30,165.30,
,GUJRAFFIA,39.08,40.89,1.81,4.63,40.89,12,0.00,88.00,34.87,
,SUMIT,37.48,39.2,1.72,4.59,39.2,24,0.00,117.00,34.50,
,VIJIFIN,2.19,2.29,0.1,4.57,2.29,43285,0.01,4.60,1.99,
,ZENITHSTL,5.59,5.84,0.25,4.47,5.84,550,0.00,10.33,4.41,
,RSYSTEMS,258.5,269.9,11.4,4.41,269.9,3343,0.09,496.90,250.65,
,AAKASH,9.79,10.2,0.41,4.19,10.2,35592,0.04,13.79,7.06,
,DCXINDIA,190.98,198.97,7.99,4.18,198.97,91316,1.82,363.75,153.60,
,LANCORHOL,22.96,23.89,0.93,4.05,23.89,4,0.00,33.80,19.01,
,WORTHPERI,132.69,138.0,5.31,4.0,138.0,10,0.00,186.00,123.80,
,MAHASTEEL,830.8,863.95,33.15,3.99,863.95,128,0.01,1032.00,221.90,
,TIJARIA,4.77,4.96,0.19,3.98,4.96,127,0.00,10.35,3.55,
,NITIRAJ,213.7,222.0,8.3,3.88,222.0,250,0.01,421.60,169.99,
,SWANDEF,2022.5,2100.0,77.5,3.83,2100.0,357,0.07,2100.00,70.94,
,OIL,484.5,503.0,18.5,3.82,503.0,102419,5.15,524.00,325.00,
,PARASPETRO,2.1,2.18,0.08,3.81,2.18,5070,0.00,3.26,1.53,
,S&SPOWER,331.05,343.25,12.2,3.69,343.25,432,0.01,468.90,193.50,
,MADHUCON,4.39,4.55,0.16,3.64,4.55,7,0.00,9.49,4.25,
,SELMC,30.39,31.49,1.1,3.62,31.49,35,0.00,48.77,26.00,
,TICL,24.61,25.5,0.89,3.62,25.5,35,0.00,41.33,19.35,
,ONGC,278.95,289.0,10.05,3.6,289.0,350370,10.13,293.00,205.00,
,VINEETLAB,30.4,31.49,1.09,3.59,31.49,10,0.00,42.01,22.28,
,ASHIMASYN,14.01,14.5,0.49,3.5,14.5,223,0.00,35.80,12.05,
,JWL,298.6,309.0,10.4,3.48,309.0,202051,6.24,457.00,246.20,
,PRAKASHSTL,4.15,4.29,0.14,3.37,4.29,1638,0.00,7.45,3.92,
,SIGIND,45.45,46.98,1.53,3.37,46.98,10,0.00,81.00,39.99,
,MODTHREAD,52.06,53.62,1.56,3.0,53.62,2216,0.01,62.00,31.35,
,MAITREYA,219.05,225.5,6.45,2.94,225.5,400,0.01,329.00,178.60,
,HCL-INSYS,12.51,12.87,0.36,2.88,12.87,2575,0.00,24.50,11.75,
,NOIDATOLL,3.87,3.98,0.11,2.84,3.98,2838,0.00,5.63,2.57,
,GVPTECH,6.52,6.7,0.18,2.76,6.7,301,0.00,12.00,6.25,
,TREJHARA,175.21,179.98,4.77,2.72,179.98,1,0.00,284.85,155.60,
,ABAN,22.3,22.9,0.6,2.69,22.9,23286,0.05,61.00,18.06,
,STEL,524.65,538.7,14.05,2.68,538.7,1,0.00,633.30,364.80,
,TVVISION,5.65,5.8,0.15,2.65,5.8,143,0.00,12.40,3.96,
,VHLTD,149.09,153.0,3.91,2.62,153.0,101,0.00,155.36,93.05,
,SIKKO,4.63,4.75,0.12,2.59,4.75,9862,0.00,6.83,3.20,
,SAURASHCEM,62.59,64.2,1.61,2.57,64.2,1,0.00,128.40,59.51,
,JINDRILL,542.2,556.0,13.8,2.55,556.0,23917,1.33,982.45,440.10,
,ASIANHOTNR,292.65,299.95,7.3,2.49,299.95,2,0.00,419.50,247.50,
,ORCHASP,2.43,2.49,0.06,2.47,2.49,7055,0.00,4.16,2.05,
,EMUDHRA,413.6,423.7,10.1,2.44,423.7,5652,0.24,894.10,400.00,
,BLUECOAST,20.93,21.44,0.51,2.44,21.44,113,0.00,86.31,19.20,
,FEL,0.42,0.43,0.01,2.38,0.43,2713,0.00,0.68,0.34,
,DNAMEDIA,3.41,3.49,0.08,2.35,3.49,14,0.00,5.95,3.07,
,SIGMAADV,160.13,163.9,3.77,2.35,163.9,6004,0.10,231.00,49.06,
,IITL,131.93,134.93,3.0,2.27,134.93,10,0.00,284.70,108.00,
,GATECH,0.46,0.47,0.01,2.17,0.47,65766,0.00,1.21,0.44,
,ZEELEARN,5.57,5.69,0.12,2.15,5.69,2775,0.00,10.89,4.57,
,GATECHDVR,0.47,0.48,0.01,2.13,0.48,16876,0.00,1.16,0.42,
,AVONMORE,14.1,14.4,0.3,2.13,14.4,35,0.00,24.19,13.21,
,BGLOBAL,2.84,2.9,0.06,2.11,2.9,125,0.00,4.60,2.77,
,RAJMET,3.81,3.89,0.08,2.1,3.89,3352,0.00,7.12,3.56,
,KAUSHALYA,842.4,860.0,17.6,2.09,860.0,10,0.00,1841.90,800.00,
,MTEDUCARE,1.47,1.5,0.03,2.04,1.5,16,0.00,2.55,1.32,
,ORTEL,1.48,1.51,0.03,2.03,1.51,500,0.00,2.34,1.15,
,ROML,44.98,45.89,0.91,2.02,45.89,5,0.00,73.80,40.16,
,DICIND,524.45,535.0,10.55,2.01,535.0,17,0.00,748.00,450.50,
,SBGLP,28.36,28.93,0.57,2.01,28.93,1,0.00,48.73,24.95,
,PARAS,749.35,764.35,15.0,2.0,764.35,24146,1.85,972.50,410.65,
,JMA,84.67,86.36,1.69,2.0,86.36,9,0.00,111.99,64.30,
,RAJRILTD,22.84,23.29,0.45,1.97,23.29,360,0.00,31.59,19.50,
,SMARTLINK,120.14,122.5,2.36,1.96,122.5,9,0.00,173.49,112.97,
,SOLARA,459.05,467.95,8.9,1.94,467.95,5656,0.26,734.40,440.20,
,SURANASOL,22.26,22.69,0.43,1.93,22.69,620,0.00,41.44,20.20,
,CUPID,402.2,82.0,1.55,1.93,82.0,29256,0.24,105.39,11.15,
,SCPL,325.75,332.0,6.25,1.92,332.0,33,0.00,368.95,190.03,
,VIVIDHA,0.52,0.53,0.01,1.92,0.53,345,0.00,1.05,0.48,
,GSS,13.09,13.34,0.25,1.91,13.34,161,0.00,52.69,12.31,
,SADBHIN,3.18,3.24,0.06,1.89,3.24,1206,0.00,6.00,3.03,
,VISASTEEL,36.2,36.88,0.68,1.88,36.88,288,0.00,73.68,28.20,
,RUDRA,17.76,18.09,0.33,1.86,18.09,2,0.00,29.70,15.90,
,TPHQ,0.55,0.56,0.01,1.82,0.56,31064,0.00,1.48,0.52,
,AMJLAND,38.42,39.1,0.68,1.77,39.1,15,0.00,68.90,36.55,
,RKDL,20.55,20.9,0.35,1.7,20.9,30851,0.06,34.58,16.30,
,DPEL,290.1,295.0,4.9,1.69,295.0,1500,0.04,330.60,99.05,
,MHLXMIRU,170.07,172.9,2.83,1.66,172.9,1,0.00,270.68,160.00,
,DANGEE,3.02,3.07,0.05,1.66,3.07,835,0.00,6.34,2.53,
,SPCENET,4.28,4.35,0.07,1.64,4.35,2428,0.00,11.24,3.96,
,SHAREINDIA,131.99,134.01,2.02,1.53,134.01,23966,0.32,211.00,122.32,
,KOHINOOR,25.61,26.0,0.39,1.52,26.0,520,0.00,45.00,22.81,
,OMINFRAL,80.29,81.5,1.21,1.51,81.5,31,0.00,146.12,71.50,
,AIRAN,16.01,16.25,0.24,1.5,16.25,118,0.00,32.65,12.66,
,GVKPIL,2.69,2.73,0.04,1.49,2.73,23612,0.01,4.48,2.59,
,NELCAST,114.59,116.3,1.71,1.49,116.3,6652,0.08,180.90,78.55,
,MBLINFRA,25.61,25.99,0.38,1.48,25.99,2,0.00,57.00,22.70,
,KRITINUT,65.05,66.0,0.95,1.46,66.0,10,0.00,125.01,59.01,
,SURANAT&P,17.24,17.49,0.25,1.45,17.49,171,0.00,29.27,16.30,
,COUNCODOS,4.91,4.98,0.07,1.43,4.98,40,0.00,11.92,4.52,
,HINDCOMPOS,414.05,419.9,5.85,1.41,419.9,29,0.00,537.75,395.00,
,KDL,120.1,121.7,1.6,1.33,121.7,1200,0.01,386.20,109.65,
,SPLPETRO,669.2,678.0,8.8,1.32,678.0,1112,0.08,979.00,462.30,
,DRONE,47.35,47.95,0.6,1.27,47.95,500,0.00,138.05,46.05,
,RSSOFTWARE,32.49,32.9,0.41,1.26,32.9,50,0.00,91.65,29.61,
,CHENNPETRO,1007.5,1020.0,12.5,1.24,1020.0,15455,1.58,1103.00,480.00,
,AXITA,8.85,8.96,0.11,1.24,8.96,5182,0.00,12.20,7.26,
,ANTGRAPHIC,0.81,0.82,0.01,1.23,0.82,2862,0.00,1.62,0.77,
,INDUSINVIT,123.21,124.67,1.46,1.18,124.67,321,0.00,128.98,99.10,
,UNITEDPOLY,25.5,25.8,0.3,1.18,25.8,13030,0.03,51.16,12.05,
,SUMEETINDS,30.64,31.0,0.36,1.17,31.0,1604,0.00,40.50,10.66,
,LASA,7.89,7.98,0.09,1.14,7.98,68,0.00,25.15,7.18,
,EFACTOR,225.5,228.0,2.5,1.11,228.0,400,0.01,348.00,127.50,
,ALPHAGEO,202.75,205.0,2.25,1.11,205.0,1210,0.02,298.00,190.87,
,ASMS,9.02,9.12,0.1,1.11,9.12,22095,0.02,19.00,8.60,
,ISHANCH,57.79,58.4,0.61,1.06,58.4,17,0.00,83.37,36.00,
,ASIANENE,285.5,288.5,3.0,1.05,288.5,1008,0.03,391.65,215.00,
,SETCO,18.24,18.43,0.19,1.04,18.43,2031,0.00,21.68,11.56,
,RUSHIL,16.47,16.64,0.17,1.03,16.64,5969,0.01,33.99,15.40,
,OSWALSEEDS,12.62,12.75,0.13,1.03,12.75,10,0.00,20.28,10.72,
,TRIGYN,48.51,49.0,0.49,1.01,49.0,60,0.00,102.40,43.64,
,BONLON,38.6,38.99,0.39,1.01,38.99,3,0.00,48.98,36.70,
,KRITIKA,5.99,6.05,0.06,1.0,6.05,831,0.00,11.22,4.82,
,KAYTEX,84.05,84.85,0.8,0.95,84.85,800,0.01,156.90,54.50,
,OILCOUNTUB,46.81,47.25,0.44,0.94,47.25,172,0.00,99.67,43.82,
,LXCHEM,113.72,114.78,1.06,0.93,114.78,18325,0.21,241.00,110.15,
,CAPTRUST,11.9,12.01,0.11,0.92,12.01,49,0.00,69.69,11.08,
,NAGAFERT,4.34,4.38,0.04,0.92,4.38,630,0.00,8.83,3.81,
,MAXIND,148.64,150.0,1.36,0.91,150.0,210,0.00,241.57,141.81,
,MIDWESTLTD,1126.7,1136.9,10.2,0.91,1136.9,191,0.02,1859.90,1048.50,
,ANANTAM,102.97,103.9,0.93,0.9,103.9,7,0.00,117.00,100.10,
,VAISHALI,6.74,6.8,0.06,0.89,6.8,5940,0.00,15.24,6.40,
,UMAEXPORTS,22.8,23.0,0.2,0.88,23.0,752,0.00,96.80,22.15,
,INA,96.15,97.0,0.85,0.88,97.0,300,0.00,-,-,
,GLOBALVECT,156.69,158.0,1.31,0.84,158.0,24,0.00,280.50,150.00,
,ANSALAPI,3.87,3.9,0.03,0.78,3.9,1084,0.00,5.97,2.84,
,MRPL,206.55,208.1,1.55,0.75,208.1,88250,1.84,212.31,107.69,
